ID,Poem Content,Label
22,花貌年年溺水滨，俗传河伯娶生人。自从明宰投巫后，直至如今鬼不神。,5
23,烟笼寒水月笼沙，夜泊秦淮近酒家。商女不知亡国恨，隔江犹唱《后庭花》。,5
24,满搦宫腰纤细，年纪方当笄岁。刚被风流沾惹，与合垂杨双髻。初学严妆，如描似削身材，怯雨羞云情意。举措多娇媚。争奈心性，未会先怜佳婿。长是夜深，不肯便入鸳被。与解罗裳，盈盈背立银釭，却道你但先睡。,0
25,春风吹船著浯溪，扶藜上读《中兴碑》。平生半世看墨本，摩挲石刻鬓成丝。明皇不作苞桑计，颠倒四海由禄儿。九庙不守乘舆西，万官已作鸟择栖。抚军监国太子事，何乃趣取大物为？事有至难天幸耳，上皇蹰蹐还京师。内间张后色可否？外间李父颐指挥。南内凄凉几苟活，高将军去事尤危。臣结春秋二三策，臣甫杜鹃再拜诗。安知忠臣痛至骨，世上但赏琼琚词。同来野僧六七辈，亦有文士相追随。断崖苍藓对立久，冻雨为洗前朝悲。,5
26,海畔风吹冻泥裂，枯桐叶落枝梢折。横笛闻声不见人，红旗直上天山雪。,3
27,峡口花飞欲尽春，天涯去住泪沾巾。来时万里同为客，今日翻成送故人。,1
28,相逢旅馆意多违，暮雪初晴候雁飞。主人酒尽君未醉，薄暮途遥归不归。,1
29,长门柳丝千万结，风起花如雪。离别复离别，攀折更攀折，苦无多旧时枝叶也。长门柳丝千万缕，总是伤心树。行人折嫩条，燕子衔轻絮，都不由凤城春做主。,1
30,野草凄凄经雨碧，远山一抹晴云积。午睡觉来愁似织。孤帆直，游丝绕梦飞无力。古渡人家烟水隔，乡心缭乱垂杨陌。鸿雁自南人自北。风萧瑟，荻花满地秋江白。,2
31,饮马渡秋水，水寒风似刀。平沙日未没，黯黯见临洮。昔日长城战，咸言意气高。黄尘足今古，白骨乱蓬蒿。,3
32,狂风吹古月，窃弄章华台。北落明星动光彩，南征猛将如云雷。手中电击倚天剑，直斩长鲸海水开。我见楼船壮心目，颇似龙骧下三蜀。扬兵习战张虎旗，江中白浪如银屋。身居玉帐临河魁，紫髯若戟冠崔嵬，细柳开营揖天子，始知灞上为婴孩。羌笛横吹阿亸回，向月楼中吹落梅。将军自起舞长剑，壮士呼声动九垓。功成献凯见明主，丹青画像麒麟台。,3
33,梦湘云，吟湘月，吊湘灵。有谁见、罗袜尘生。凌波步弱，背人羞整六铢轻。娉娉袅袅，晕娇黄、玉色轻明。香心静，波心冷，琴心怨，客心惊。怕佩解、却返瑶京。杯擎清露，醉春兰友与梅兄。苍烟万顷，断肠是、雪冷江清。,6
34,雪衣雪发青玉嘴，群捕鱼儿溪影中。惊飞远映碧山去，一树梨花落晚风。,6
35,来是空言去绝踪，月斜楼上五更钟。梦为远别啼难唤，书被催成墨未浓。蜡照半笼金翡翠，麝熏微度绣芙蓉。刘郎已恨蓬山远，更隔蓬山一万重！,0
36,绀云分翠拢香丝，玉线界宫鸦翅。露冷蔷薇晓初试。淡匀脂，金篦腻点兰烟纸。含娇意思，殢人须是，亲手画眉儿。,0
37,石梁茅屋有弯碕，流水溅溅度两陂。晴日暖风生麦气，绿阴幽草胜花时。,4
38,吾观非常者，碌碌在目前。君负鸿鹄志，蹉跎书剑年。一闻边烽动，万里忽争先。余亦赴京国，何当献凯还。,1
39,菊暗荷枯一夜霜。新苞绿叶照林光。竹篱茅舍出青黄。香雾噀人惊半破，清泉流齿怯初尝。吴姬三日手犹香。,6
40,尊前拟把归期说，欲语春容先惨咽。人生自是有情痴，此恨不关风与月。离歌且莫翻新阕，一曲能教肠寸结。直须看尽洛城花，始共春风容易别。,1
41,越山青断西陵浦。一片密阴疏雨。潮带旧愁生暮。曾折垂杨处。桃根桃叶当时渡。鸣咽风前柔橹。燕子不留春住。空寄离樯语。,1
42,屈指数春来，弹指惊春去。蛛丝网落花，也要留春住。几日喜春晴，几夜愁春雨。六曲小山屏，题满伤春句。春若有情应解语，问着无凭据。江东日暮云，渭北春天树，不知那答儿是春住处？,1
43,河桥柳，占芳春，映水含烟拂路。几回攀折赠行人，暗伤神。乐府吹为横笛曲，能使离肠断续。不如移植在金门，近天恩。,1
44,我梦唐宫春昼迟。正舞到、曳裾时。翠云队仗绛霞衣。慢腾腾、手双垂。忽然急鼓催将起，似彩凤、乱惊飞。梦回不见万琼妃。见荷花、被风吹。,6
45,楚乡飞鸟没，独与碧云还。破镜催归客，残阳见旧山。诗成流水上，梦尽落花间。傥寄相思字，愁人定解颜。,1
46,楚山秦山皆白云，白云处处长随君。长随君，君入楚山里，云亦随君渡湘水。湘水上，女萝衣，白云堪卧君早归。,1
47,芭蕉叶叶为多情，一叶才舒一叶生。自是相思抽不尽，却教风雨怨秋声。,6
48,万籁寂无声。衾铁稜稜近五更。香断灯昏吟未稳，凄清。只有霜华伴月明。应是夜寒凝。恼得梅花睡不成。我念梅花花念我，关情。起看清冰满玉瓶。,6
49,牛羊下来久，各已闭柴门。风月自清夜，江山非故园。石泉流暗壁，草露滴秋根。头白灯明里，何须花烬繁。,2
50,烟霞春旦赏，松竹故年心。断山疑画障，悬溜泻鸣琴。草遍南亭合，花开北院深。闲居饶酒赋，随兴欲抽簪。,4
51,夜深客子移舟处，两两沙禽惊起。红衣入桨，青灯摇浪，微凉意思。把酒临风，不思归去，有如此水。况茂陵游倦，长干望久，芳心事、箫声里。屈指归期尚未。鹊南飞、有人应喜。画阑桂子，留香小待，提携影底。我已情多，十年幽梦，略曾如此。甚谢郎、也恨飘零，解道月明千里。,2
52,秦鹿奔野草，逐之若飞蓬。项王气盖世，紫电明双瞳。呼吸八千人，横行起江东。赤精斩白帝，叱咤入关中。两龙不并跃，五纬与天同。楚灭无英图，汉兴有成功。按剑清八极，归酣歌大风。伊昔临广武，连兵决雌雄。分我一杯羹，太皇乃汝翁。战争有古迹，壁垒颓层穹。猛虎啸洞壑，饥鹰鸣秋空。翔云列晓阵，杀气赫长虹。拨乱属豪圣，俗儒安可通。沉湎呼竖子，狂言非至公。抚掌黄河曲，嗤嗤阮嗣宗。,5
53,怅卧新春白袷衣，白门寥落意多违。红楼隔雨相望冷，珠箔飘灯独自归。远路应悲春晼晚，残霄犹得梦依稀。玉珰缄札何由达，万里云罗一雁飞。,0
54,人去西楼雁杳。叙别梦、扬州一觉。云澹星疏楚山晓。听啼乌，立河桥，话未了。雨外蛩声早。细织就、霜丝多少。说与萧娘未知道。向长安，对秋灯，几人老。,1
55,芦叶梢梢夏景深，邮亭暂欲洒尘襟。昔年曾是江南客，此日初为关外心。思子台边风自急，玉娘湖上月应沉。清声不远行人去，一世荒城伴夜砧。,2
56,走马西来欲到天，辞家见月两回圆。今夜不知何处宿，平沙万里绝人烟。,3
57,缥缈危楼紫翠间，良辰乐事古难全。感时怀旧独凄然。璧月琼枝空夜夜，菊花人貌自年年。不知来岁与谁看。,1
58,云光岚彩四面合，柔柔垂柳十余家。雉飞鹿过芳草远，牛巷鸡埘春日斜。秀眉老父对樽酒，茜袖女儿簪野花。征车自念尘土计，惆怅溪边书细沙。,4
59,君家云母障，时向野庭开。自有山泉入，非因采画来。,6
60,繁弦奏渌水，长袖转回鸾。一双俱应节，还似镜中看。,6
61,朔风吹雪透刀瘢，饮马长城窟更寒。半夜火来知有敌，一时齐保贺兰山。,3
62,客自长安来，还归长安去。狂风吹我心，西挂咸阳树。此情不可道，此别何时遇。望望不见君，连山起烟雾。,1
63,高台不见凤凰游，浩浩长江入海流。舞罢青蛾同去国，战残白骨尚盈丘。风摇落日催行棹，潮卷新沙换故洲。结绮临春无处觅，年年荒草向人愁。,5
64,终南有茅屋，前对终南山。终年无客常闭关，终日无心长自闲。不妨饮酒复垂钓，君但能来相往还。,4
65,往常时为功名惹是非，如今对山水忘名利；往常时趁鸡声赴早朝，如今近晌午犹然睡。往常时秉笏立丹墀，如今把菊向东离；往常时俯仰承极贵，如今逍遥谒故知；往常时狂痴，险犯着笞杖徒流罪；如今便宜，课会风花雪月题。云来山更佳，云去山如画。出因云晦明，云共山高下。倚仗立云沙，回首见山家，野鹿眠山草，山猿戏野花。云霞，我爱山无价。看时行踏，云山也爱咱。抖擞了元亮尘，分付了苏卿印；喜西风范蠡舟，任雪满潘安鬓。乞得自由身，且作太平民；酒吸华峰月，吟泺水春。而今，识破东华梦；红裙，休歌南浦云。三十年一梦惊，财与气消磨尽。把当年花月心，都变做了今日山林兴。早是不能行，那更鬓星星。镜里常嗟叹，人前强打撑。歌声，积渐的无心听；多情，你频来待怎生？自高悬神武冠，身无事心无患。对风花雪月吟，有笔砚琴书伴。梦境儿也清安，俗势利不相关，由他傀儡棚头闹，且向昆仑顶上看。云山，隔断红尘岸；游观，壶中天地宽。也不学严子陵七里滩，也不学姜太公磻溪岸，也不学贺知章乞监湖，也不学柳子厚游南间。俺住云水屋三间，风月竹千竿。一任傀儡棚中闹，且向昆仑顶上看。身安，倒大来无忧患；游观，壶中天地宽。,4
66,暗淡轻黄体性柔，情疏迹远只香留。何须浅碧深红色，自是花中第一流。梅定妒，菊应羞，画阑开处冠中秋。骚人可煞无情思，何事当年不见收。,6
67,冷冷水向桥东去。漠漠云归溪上住。疏风淡月有来时，流水行云无觅处。佳人独立相思苦。薄袖欺寒脩竹暮。白头空负雪边春，着意问春春不语。,6
68,泪荷抛碎璧。正漏云筛雨，斜捎窗隙。林声怨秋色。对小山不迭，寸眉愁碧。凉欺岸帻。暮砧催、银屏翦尺。最无聊、燕去堂空，旧幕暗尘罗额。行客。西园有分，断柳凄花，似曾相识。西风破屐。林下路，水边石。念寒蛩残梦，归鸿心事，那听江村夜笛。看雪飞、苹底芦梢，未如鬓白。,2
69,拂拭残碑，敕飞字，依稀堪读。慨当初，倚飞何重，后来何酷。岂是功成身合死，可怜事去言难赎。最无辜，堪恨更堪悲，风波狱。岂不念，疆圻蹙；岂不念，徽钦辱，念徽钦既返，此身何属。千载休谈南渡错，当时自怕中原复。笑区区、一桧亦何能，逢其欲。,5
70,十月河洲时，一看有归思。风飙生惨烈，雨雪暗天地。我辈今胡为？浩哉迷所至。缅怀当途者，济济居声位。邈然在云霄，宁肯更沦踬？周旋多燕乐，门馆列车骑。美人芙蓉姿，狭室兰麝气。金炉陈兽炭，谈笑正得意。岂论草泽中，有此枯槁士？我惭经济策，久欲甘弃置。君负纵横才，如何尚憔悴？长歌增郁怏，对酒不能醉。穷达自有时，夫子莫下泪。,3
71,善鼓云和瑟，常闻帝子灵。冯夷空自舞，楚客不堪听。苦调凄金石，清音入杳冥。苍梧来怨慕，白芷动芳馨。流水传潇浦，悲风过洞庭。曲终人不见，江上数峰青。,0
72,春流送客不应赊，南入徐州见柳花。朱雀桥边看淮水，乌衣巷里问王家。千闾万井无多事，辟户开门向山翠。楚云朝下石头城，江燕双飞瓦棺寺。吴士风流甚可亲，相逢嘉赏日应新。从来此地夸羊酪，自有莼羹定却人。,1
73,山绕平湖波撼城。湖光倒影浸山青。水晶楼下欲三更。雾柳暗时云度月，露荷翻处水流萤。萧萧散发到天明。,4
74,风吹柳花满店香，吴姬压酒唤客尝。金陵子弟来相送，欲行不行各尽觞。请君试问东流水，别意与之谁短长。,1
75,曲阑深处重相见，匀泪偎人颤。凄凉别后两应同，最是不胜清怨月明中。半生已分孤眠过，山枕檀痕涴。忆来何事最销魂，第一折枝花样画罗裙。,1
76,黄河水绕汉宫墙，河上秋风雁几行。客子过壕追野马，将军弢箭射天狼。黄尘古渡迷飞挽，白月横空冷战场。闻道朔方多勇略，只今谁是郭汾阳。,3
77,楼角初销一缕霞，淡黄杨柳暗栖鸦。玉人和月摘梅花。笑捻粉香归洞户，更垂帘幕护窗纱。东风寒似夜来些。,0
78,骠骑非无势，少卿终不去。世道剧颓波，我心如砥柱。贾生明王道，卫绾工车戏。同遇汉文时，何人居贵位。,5
79,屏风围坐鬓毵毵，绛蜡摇光照莫酣。京国多年情尽改，忽听春雨忆江南。,2
80,青青园中葵，朝露待日晞。阳春布德泽，万物生光辉。常恐秋节至，焜黄华叶衰。百川东到海，何时复西归？少壮不努力，老大徒伤悲！,6
81,山中兰叶径，城外李桃园。岂知人事静，不觉鸟声喧。,4
82,生平少年日，分手易前期。及尔同衰暮，非复别离时。勿言一樽酒，明日难重持。梦中不识路，何以慰相思？,1
83,幸因腐草出，敢近太阳飞。未足临书卷，时能点客衣。随风隔幔小，带雨傍林微。十月清霜重，飘零何处归。,6
84,牡丹芳，牡丹芳，黄金蕊绽红玉房。千片赤英霞烂烂，百枝绛点灯煌煌。照地初开锦绣段，当风不结兰麝囊。仙人琪树白无色，王母桃花小不香。宿露轻盈泛紫艳，朝阳照耀生红光。红紫二色间深浅，向背万态随低昂。映叶多情隐羞面，卧丛无力含醉妆。低娇笑容疑掩口，凝思怨人如断肠。浓姿贵彩信奇绝，杂卉乱花无比方。石竹金钱何细碎，芙蓉芍药苦寻常。遂使王公与卿士，游花冠盖日相望。庳车软舆贵公主，香衫细马豪家郎。卫公宅静闭东院，西明寺深开北廊。戏蝶双舞看人久，残莺一声春日长。共愁日照芳难驻，仍张帷幕垂阴凉。花开花落二十日，一城之人皆若狂。三代以还文胜质，人心重华不重实。重华直至牡丹芳，其来有渐非今日。元和天子忧农桑，恤下动天天降祥。去岁嘉禾生九穗，田中寂寞无人至。今年瑞麦分两岐，君心独喜无人知。无人知，可叹息。我愿暂求造化力，减却牡丹妖艳色。少回卿士爱花心，同似吾君忧稼穑。,6
85,冻云黯淡天气，扁舟一叶，乘兴离江渚。渡万壑千岩，越溪深处。怒涛渐息，樵风乍起，更闻商旅相呼。片帆高举。泛画鹢、翩翩过南浦。望中酒旆闪闪，一簇烟村，数行霜树。残日下，渔人鸣榔归去。败荷零落，衰杨掩映，岸边两两三三，浣沙游女。避行客、含羞笑相语。到此因念，绣阁轻抛，浪萍难驻。叹后约丁宁竟何据。惨离怀，空恨岁晚归期阻。凝泪眼、杳杳神京路。断鸿声远长天暮。,2
86,居人行转轼，客子暂维舟。念此一筵笑，分为两地愁。露湿寒塘草，月映清淮流。方抱新离恨，独守故园秋。,1
87,亭亭画舸系春潭，直到行人酒半酣。不管烟波与风雨，载将离恨过江南。,1
88,清川永路何极，落日孤舟解携。鸟向平芜远近，人随流水东西。白云千里万里，明月前溪后溪。惆怅长沙谪去，江潭芳草萋萋。,1
89,汝不闻秦筝声最苦，五色缠弦十三柱。怨调慢声如欲语，一曲未终日移午。红亭水木不知暑，忽弹黄钟和白纻。清风飒来云不去，闻之酒醒泪如雨。汝归秦兮弹秦声，秦声悲兮聊送汝。,1
90,时运，游暮春也。春服既成，景物斯和，偶景独游，欣慨交心。迈迈时运，穆穆良朝。袭我春服，薄言东郊。山涤余霭，宇暧微霄。有风自南，翼彼新苗。洋洋平泽，乃漱乃濯。邈邈遐景，载欣载瞩。称心而言，人亦易足。挥兹一觞，陶然自乐。延目中流，悠想清沂。童冠齐业，闲咏以归。我爱其静，寤寐交挥。但恨殊世，邈不可追。斯晨斯夕，言息其庐。花药分列，林竹翳如。清琴横床，浊酒半壶。黄唐莫逮，慨独在余。,4
91,流落征南将，曾驱十万师。罢归无旧业，老去恋明时。独立三边静，轻生一剑知。茫茫江汉上，日暮欲何之。,1
92,琼姿只合在瑶台，谁向江南处处栽？雪满山中高士卧，月明林下美人来。寒依疏影萧萧竹，春掩残香漠漠苔。自去何郎无好咏，东风愁寂几回开。缟袂相逢半是仙，平生水竹有深缘。将疏尚密微经雨，似暗还明远在烟。薄瞑山家松树下，嫩寒江店杏花前。秦人若解当时种，不引渔郎入洞天。翠羽惊飞别树头，冷香狼籍倩谁收。骑驴客醉风吹帽，放鹤人归雪满舟。淡月微云皆似梦，空山流水独成愁。几看孤影低徊处，只道花神夜出游。淡淡霜华湿粉痕，谁施绡帐护春温。诗随十里寻春路，愁在三更挂月村。飞去只忧云作伴，销来肯信玉为魂。一尊欲访罗浮客，落叶空山正掩门。云雾为屏雪作宫，尘埃无路可能通。春风未动枝先觉，夜月初来树欲空。翠袖佳人依竹下，白衣宰相在山中。寂寥此地君休怨，回首名园尽棘丛。梦断扬州阁掩尘，幽期犹自属诗人。立残孤影长过夜，看到余芳不是春。云暖空山裁玉遍，月寒深浦泣珠频。掀篷图里当时见，错爱横斜却未真。独开无那只依依，肯为愁多减玉辉？廉外钟来月初上，灯前角断忽霜飞。行人水驿春全早，啼鸟山塘晚半稀。愧我素衣今已化，相逢远自洛阳归。最爱寒多最得阳，仙游长在白云乡。春愁寂寞天应老，夜色朦胧月亦香。楚客不吟江路寂，吴王已醉苑台荒。枝头谁见花惊处？袅袅微风簌簌霜。断魂只有月明知，无限春愁在一枝。不共人言唯独笑，忽疑君到正相思。歌残别院烧灯夜，妆罢深宫览镜时。旧梦已随流水远，山窗聊复伴题诗。,6
93,雪里已知春信至，寒梅点缀琼枝腻。香脸半开娇旖旎，当庭际，玉人浴出新妆洗。造化可能偏有意，故教明月玲珑地。共赏金尊沈绿蚁，莫辞醉，此花不与群花比。,6
94,香靥深深，姿姿媚媚，雅格奇容天与。自识伊来，便好看承，会得妖娆心素。临歧再约同欢，定是都把、平生相许。又恐恩情，易破难成，未免千般思虑。近日书来，寒暄而已，苦没忉忉言语。便认得、听人教当，拟把前言轻负。见说兰台宋玉，多才多艺善词赋。试与问、朝朝暮暮。行云何处去。,1
95,偶检丛纸中，得花瓣一包，纸背细书辛幼安“更能消几番风雨”一阕，乃是京师悯忠寺海棠花，戊辰暮春所戏为也，泫然得句。人天无据，被侬留得香魂住。如梦如烟，枝上花开又十年！十年千里，风痕雨点斓斑里。莫怪怜他，身世依然是落花。,6
96,分携如昨。人生到处萍飘泊。偶然相聚还离索。多病多愁，须信从来错。尊前一笑休辞却。天涯同是伤沦落。故山犹负平生约。西望峨嵋，长羡归飞鹤。,2
97,好恨这风儿，催俺分离！船儿吹得去如飞，因甚眉儿吹不展？叵耐风儿！不是这船儿，载起相思？船儿若念我孤恓？载取人人篷底睡，感谢风儿！,1
98,士卒何草草，筑城潼关道。大城铁不如，小城万丈余。借问潼关吏：修关还备胡？要我下马行，为我指山隅：连云列战格，飞鸟不能逾。胡来但自守，岂复忧西都。丈人视要处，窄狭容单车。艰难奋长戟，万古用一夫。哀哉桃林战，百万化为鱼。请嘱防关将，慎勿学哥舒！,3
99,从来只有情难尽，何事名为情尽桥。自此改名为折柳，任他离恨一条条。,1
100,日暖泥融雪半消，行人芳草马声骄。九华山路云遮寺，清弋江村柳拂桥。君意如鸿高的的，我心悬旆正摇摇。同来不得同归去，故国逢春一寂寥！,1
101,云容冱雪，暮色添寒，楼台共临眺。翠丛深窅。无人处、数蕊弄春犹小。幽姿谩好。遥相望、含情一笑。花解语，因甚无言，心事应难表。莫待墙阴暗老。称琴边月夜，笛里霜晓。护香须早。东风度、咫尺画阑琼沼。归来梦绕。歌云坠、依然惊觉。想恁时，小几银屏冷未了。,6
102,饮酒莫辞醉，醉多适不愁。孰知非远别，终念对穷秋。滑台门外见，淇水眼前流。君去应回首，风波满渡头。,1
103,澹烟横，层雾敛。胜概分雄占。月下鸣榔，风急怒涛飐。关河无限清愁，不堪临鉴。正霜鬓、秋风尘染。漫登览。极目万里沙场，事业频看剑。古往今来，南北限天堑。倚楼谁弄新声，重城正掩。历历数、西州更点。,5
104,君不见昔日西京全盛时，汾阴后土亲祭祀。斋宫宿寝设储供，撞钟鸣鼓树羽旂。汉家五叶才且雄，宾延万灵朝九戎。柏梁赋诗高宴罢，诏书法驾幸河东。河东太守亲扫除，奉迎至尊导鸾舆。五营夹道列容卫，三河纵观空里闾。回旌驻跸降灵场，焚香奠醑邀百祥。金鼎发色正焜煌，灵祗炜烨摅景光。埋玉陈牲礼神毕，举麾上马乘舆出。彼汾之曲嘉可游，木兰为楫桂为舟。櫂歌微吟彩鹢浮，箫鼓哀鸣白云秋。欢娱宴洽赐群后，家家复除户牛酒。声明动天乐无有，千秋万岁南山寿。自从天子向秦关，玉辇金车不复还。珠帘羽扇长寂寞，鼎湖龙髯安可攀。千龄人事一朝空，四海为家此路穷。豪雄意气今何在，坛场宫馆尽蒿蓬。路逢故老长叹息，世事回环不可测。昔时青楼对歌舞，今日黄埃聚荆棘。山川满目泪沾衣，富贵荣华能几时？不见只今汾水上，唯有年年秋雁飞。,5
105,斜日低山片月高，睡余行药绕江郊。霜风捣尽千林叶，闲倚筇枝数鹳巢。炙背檐前日似烘，暖醺醺后困蒙蒙。过门走马何官职，侧帽笼鞭战北风！屋上添高一把茅，密泥房壁似僧寮。从教屋外阴风吼，卧听篱头响玉箫。松节然膏当烛笼，凝烟如墨暗房栊；晚来拭净南窗纸，便觉斜阳一倍红。乾高寅缺筑牛宫，巵酒豚蹄酹土公。牯牸无瘟犊儿长，明年添种越城东。放船开看雪山晴，风定奇寒晚更凝。坐听一篙珠玉碎，不知湖面已成冰！拨雪挑来踏地菘，味如蜜藕更肥醲。朱门肉食无风味，只作寻常菜把供。榾柮无烟雪夜长，地炉煨酒暖如汤。莫嗔老妇无盘飣，笑指灰中芋栗香。煮酒春前腊后蒸，一年长飨瓮头清。廛居何似山居乐，秫米新来禁入城。黄纸蠲租白纸催，皂衣旁午下乡来。长官头脑冬烘甚，乞汝青钱买酒回。探梅公子款柴门，枝北枝南总未春；忽见小桃红似锦，却疑侬是武陵人。村巷冬年见俗情，邻翁讲礼拜柴荆。长衫布缕如霜雪，云是家机自织成。,4
106,高淡清虚即是家，何须须占好烟霞。无心于道道自得，有意向人人转赊。风触好花文锦落，砌横流水玉琴斜。但令如此还如此，谁羡前程未可涯。,4
